token	pos	etymology	family	freq	freq_family	freq_bins_12	freq_bins_4	family_size	family_membership	family_with_prefix	cognate	family_has_verb	family_with_altradical	tokens_per_family	verbs_per_family	adjectives_per_family	nomadjective_per_family	nouns_per_family	adverbsconjs_per_family	length	length_family_sum	length_family_mean	sentiment	register	domains_124	domains_47
abaca	S	Oriental	1	1	1	12	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	5	5	5	0		sylviculture	Végétal
abandonner	V	Germain	2	3529	10526	4	2	4	TFm	1	1	1	0	19	3	3	1	13	0	10	161	8.47	0		sociologie	Mouvement
abandonné	A	Germain	2	2247	10526	4	2	4	Fm	1	1	1	0	19	3	3	1	13	0	9			0			
abandon	S	Germain	2	1286	10526	4	2	4	Fm	1	1	1	0	19	3	3	1	13	0	7			0			
abandonnement	S	Germain	2	28	10526	9	2	4	Fm	1	1	1	0	19	3	3	1	13	0	13			0			
ban	S	Germain	2	95	10526	8	2	4	Fm	1	1	1	0	19	3	3	1	13	0	3			0			
banlieue	S	Germain	2	513	10526	5	2	4	Fm	1	1	1	0	19	3	3	1	13	0	8			0			
banlieusard	S	Germain	2	6	10526	10	2	4	Fm	1	1	1	0	19	3	3	1	13	0	11			0			
bannière	S	Germain	2	200	10526	6	2	4	Fm	1	1	1	0	19	3	3	1	13	0	8			0			
bannir	V	Germain	2	98	10526	8	2	4	Fm	1	1	1	0	19	3	3	1	13	0	6			0			
banni	A	Germain	2	1	10526	12	2	4	Fm	1	1	1	0	19	3	3	1	13	0	5			0			
bannissement	S	Germain	2	14	10526	10	2	4	Fm	1	1	1	0	19	3	3	1	13	0	12			0			
bandit	S	Germain	2	360	10526	6	2	4	Fm	1	1	1	0	19	3	3	1	13	0	6			0			
banditisme	S	Germain	2	4	10526	11	2	4	Fm	1	1	1	0	19	3	3	1	13	0	10			0			
contrebande	S	Germain	2	66	10526	8	2	4	Fm	1	1	1	0	19	3	3	1	13	0	11			0			
contrebandier	B	Germain	2	33	10526	9	2	4	Fm	1	1	1	0	19	3	3	1	13	0	13			0			
bande	S	Germain	2	1829	10526	4	2	4	Fm	1	1	1	0	19	3	3	1	13	0	5			0			
débandade	S	Germain	2	139	10526	7	2	4	Fm	1	1	1	0	19	3	3	1	13	0	9			0			
débandé	A	Germain	2	52	10526	8	2	4	Fm	1	1	1	0	19	3	3	1	13	0	7			0			
débander	V	Germain	2	26	10526	9	2	4	Fm	1	1	1	0	19	3	3	1	13	0	8			0			
abaque	S	Latin	3	2	2	11	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	6	6	6	0		mathématiques	Calcul
abasourdi	A	Français ancien	4	138	144	7	3	1	TFm	0	0	1	0	2	1	1	0	0	0	9	19	9.5	0		psychologie	Sentiment
abasourdir	V	Français ancien	4	6	144	10	3	1	Fm	0	0	1	0	2	1	1	0	0	0	10			0			
abbé	S	Latin	5	4199	4751	4	2	2	TFm	0	1	0	1	5	0	1	0	4	0	4	34	6.8	0		religion	Deus
abbesse	S	Latin	5	134	4751	7	2	2	Fm	0	1	0	1	5	0	1	0	4	0	7			0			
abbatial	A	Latin	5	44	4751	9	2	2	Fm	0	1	0	1	5	0	1	0	4	0	8			0			
abbatille	S	Latin	5	1	4751	12	2	2	Fm	0	1	0	1	5	0	1	0	4	0	9			0			
abbaye	S	Latin	5	373	4751	6	2	2	Fm	0	1	0	1	5	0	1	0	4	0	6			0			
abcès	S	Latin	6	133	135	7	3	1	TFm	0	1	1	0	3	1	1	0	1	0	5	18	6	-1		pathologie	Corps
abcéder	V	Latin	6	1	135	12	3	1	Fm	0	1	1	0	3	1	1	0	1	0	7			0			
abcédé	A	Latin	6	1	135	12	3	1	Fm	0	1	1	0	3	1	1	0	1	0	6			0			
abdiquer	V	Latin	7	193	379	7	3	2	TFm	0	1	1	0	4	1	1	0	2	0	8	36	9	-1		droit	Politis
abdiqué	A	Latin	7	46	379	9	3	2	Fm	0	1	1	0	4	1	1	0	2	0	7			0			
abdication	S	Latin	7	139	379	7	3	2	Fm	0	1	1	0	4	1	1	0	2	0	10			0			
abdicataire	S	Latin	7	1	379	12	3	2	Fm	0	1	1	0	4	1	1	0	2	0	11			0			
abdomen	S	Latin	8	48	72	9	3	2	TFm	0	1	0	0	4	0	2	0	2	0	7	40	10	0		anatomie	Corps
abdominal	A	Latin	8	22	72	9	3	2	Fm	0	1	0	0	4	0	2	0	2	0	9			0			
abdominien	A	Latin	8	1	72	12	3	2	Fm	0	1	0	0	4	0	2	0	2	0	10			0			
abdominoscopie	S	Latin	8	1	72	12	3	2	Fm	0	1	0	0	4	0	2	0	2	0	14			0			
abduction	S	Latin	9	4	5	11	4	1	TFm	0	1	0	0	2	0	0	0	2	0	9	18	9	0		corps humain	Corps
abducteur	S	Latin	9	1	5	12	4	1	Fm	0	1	0	0	2	0	0	0	2	0	9			0			
abécédaire	S	Latin	10	9	11	10	4	1	TFm	0	1	0	0	3	0	0	0	3	0	10	22	7.33	0		littérature	Vox
abécédé	S	Latin	10	1	11	12	4	1	Fm	0	1	0	0	3	0	0	0	3	0	7			0			
abécé	S	Latin	10	1	11	12	4	1	Fm	0	1	0	0	3	0	0	0	3	0	5			0			
abeille	S	Latin	11	902	905	5	2	2	TFm	0	0	0	0	4	0	1	0	3	0	7	30	7.5	0		entomologie	Animal
abeillé	A	Latin	11	1	905	12	2	2	Fm	0	0	0	0	4	0	1	0	3	0	7			0			
abeiller	S	Latin	11	1	905	12	2	2	Fm	0	0	0	0	4	0	1	0	3	0	8			0			
abeillon	S	Latin	11	1	905	12	2	2	Fm	0	0	0	0	4	0	1	0	3	0	8			0			
abélie	S	Latin	12	1	2	12	4	1	TFm	0	1	0	0	2	0	0	0	2	0	6	15	7.5	0		sylviculture	Patro/Topo
abelmosch	S	Latin	12	1	2	12	4	1	Fm	0	1	0	0	2	0	0	0	2	0	9			0			
abélien	A	Patro	13	2	3	11	4	1	TFm	0	1	0	0	2	0	2	0	0	0	7	16	8	0		mathématiques	Calcul
abélienne	A	Patro	13	1	3	12	4	1	Fm	0	1	0	0	2	0	2	0	0	0	9			0			
aberration	S	Latin	14	142	201	7	3	2	TFm	0	1	1	0	5	1	2	0	2	0	10	40	8	-1		psychologie	Intellect
aberrant	A	Latin	14	55	201	8	3	2	Fm	0	1	1	0	5	1	2	0	2	0	8			0			
aberrance	S	Latin	14	2	201	11	3	2	Fm	0	1	1	0	5	1	2	0	2	0	9			0			
aberré	A	Latin	14	1	201	12	3	2	Fm	0	1	1	0	5	1	2	0	2	0	6			0			
aberrer	V	Latin	14	1	201	12	3	2	Fm	0	1	1	0	5	1	2	0	2	0	7			0			
abhorrer	V	Latin	15	55	80	8	3	1	TFm	0	1	1	0	2	1	1	0	0	0	8	15	7.5	-1	Littéraire	psychologie	Conflit
abhorré	A	Latin	15	25	80	9	3	1	Fm	0	1	1	0	2	1	1	0	0	0	7			0			
abies	S	Latin	16	1	4	12	4	2	TFm	0	1	0	0	4	0	0	0	4	0	5	31	7.75	0		sylviculture	Végétal
abiétacées	S	Latin	16	1	4	12	4	2	Fm	0	1	0	0	4	0	0	0	4	0	10			0			
abiétine	S	Latin	16	1	4	12	4	2	Fm	0	1	0	0	4	0	0	0	4	0	8			0			
abiétiné	S	Latin	16	1	4	12	4	2	Fm	0	1	0	0	4	0	0	0	4	0	8			0			
abîme	S	Grec	17	1761	2322	4	2	2	TFm	0	1	1	1	5	1	2	0	2	0	5	29	5.8	-1	Littéraire	géographie	Liquide
abîmer	V	Grec	17	324	2322	6	2	2	Fm	0	1	1	1	5	1	2	0	2	0	6			0			
abîmé	A	Grec	17	221	2322	6	2	2	Fm	0	1	1	1	5	1	2	0	2	0	5			0			
abyssal	A	Grec	17	15	2322	10	2	2	Fm	0	1	1	1	5	1	2	0	2	0	7			0			
abisse	S	Grec	17	1	2322	12	2	2	Fm	0	1	1	1	5	1	2	0	2	0	6			0			
abject	A	Latin	18	205	313	6	2	1	TFm	0	1	0	0	3	0	1	0	1	1	6	26	8.67	-1	Littéraire	psychologie	Attitude
abjection	S	Latin	18	107	313	7	2	1	Fm	0	1	0	0	3	0	1	0	1	1	9			0			
abjectement	D	Latin	18	1	313	12	2	1	Fm	0	1	0	0	3	0	1	0	1	1	11			0			
ablatif	S	Latin	19	4	20	11	4	1	TFm	0	1	0	0	3	0	1	0	2	0	7	23	7.67	0		géologie	Vox
ablation	S	Latin	19	15	20	10	4	1	Fm	0	1	0	0	3	0	1	0	2	0	8			0			
ablativo	A	Latin	19	1	20	12	4	1	Fm	0	1	0	0	3	0	1	0	2	0	8			0			
ablette	S	Latin	20	29	40	9	3	1	TFm	0	0	0	0	2	0	0	0	2	0	7	11	5.5	0		poissons	Animal
able	S	Latin	20	11	40	10	3	1	Fm	0	0	0	0	2	0	0	0	2	0	4			0			
ablution	S	Latin	21	43	44	9	3	1	TFm	0	1	1	0	2	1	0	0	1	0	8	19	9.5	1		religion	Liquide
ablutionner	V	Latin	21	1	44	12	3	1	Fm	0	1	1	0	2	1	0	0	1	0	11			0			
aboli	A	Latin	22	318	666	6	2	2	TFm	0	1	1	0	6	1	1	0	4	0	5	60	10	0			FOURRETOUT
abolir	V	Latin	22	240	666	6	2	2	Fm	0	1	1	0	6	1	1	0	4	0	6			0			
abolition	S	Latin	22	105	666	7	2	2	Fm	0	1	1	0	6	1	1	0	4	0	9			0			
abolissement	S	Latin	22	1	666	12	2	2	Fm	0	1	1	0	6	1	1	0	4	0	12			0			
abolitionnisme	S	Latin	22	1	666	12	2	2	Fm	0	1	1	0	6	1	1	0	4	0	14			0			
abolitionniste	S	Latin	22	1	666	12	2	2	Fm	0	1	1	0	6	1	1	0	4	0	14			0			
abomasum	S	Latin	23	1	1	12	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	8	8	8	0		mammifère	Corps
abominable	A	Latin	24	1018	1326	4	2	2	TFm	0	1	1	0	5	1	2	0	1	1	10	50	10	-1		psychologie	Conflit
abomination	S	Latin	24	209	1326	6	2	2	Fm	0	1	1	0	5	1	2	0	1	1	11			0			
abominablement	D	Latin	24	60	1326	8	2	2	Fm	0	1	1	0	5	1	2	0	1	1	14			0			
abominer	V	Latin	24	36	1326	9	2	2	Fm	0	1	1	0	5	1	2	0	1	1	8			0			
abominé	A	Latin	24	3	1326	11	2	2	Fm	0	1	1	0	5	1	2	0	1	1	7			0			
abondance	S	Latin	25	659	1949	5	2	3	TFm	1	1	1	0	11	2	4	0	3	2	9	106	9.64	1		économie	Bénéfique
abondant	A	Latin	25	551	1949	5	2	3	Fm	1	1	1	0	11	2	4	0	3	2	8			0			
